time,open,high,low,close,tick_volume
2021-06-08 23:00:00,1890.89,1893.47,1890.89,1892.57,1738
2021-06-09 00:00:00,1892.63,1894.94,1892.1,1893.3,2572
2021-06-09 01:00:00,1893.3,1895.05,1893.05,1895.0,4297
2021-06-09 02:00:00,1895.01,1895.99,1892.36,1892.95,9337
2021-06-09 03:00:00,1893.0,1894.92,1891.35,1894.71,6690
2021-06-09 04:00:00,1894.71,1896.25,1893.76,1894.4,4646
2021-06-09 05:00:00,1894.4,1894.5,1893.16,1893.83,2872
2021-06-09 06:00:00,1893.94,1895.56,1892.19,1893.16,5963
2021-06-09 07:00:00,1893.18,1893.71,1890.47,1891.41,9399
2021-06-09 08:00:00,1891.43,1892.78,1889.5,1892.13,7174
2021-06-09 09:00:00,1892.13,1893.58,1888.26,1889.29,10848
2021-06-09 10:00:00,1889.29,1890.79,1887.27,1890.04,7133
2021-06-09 11:00:00,1890.0,1890.48,1888.85,1889.42,5545
2021-06-09 12:00:00,1889.43,1892.42,1888.46,1891.35,8624
2021-06-09 13:00:00,1891.44,1895.71,1888.7,1893.69,13883
2021-06-09 14:00:00,1893.66,1898.85,1892.94,1894.49,19216
2021-06-09 15:00:00,1894.49,1895.29,1887.89,1891.04,17764
2021-06-09 16:00:00,1891.06,1893.13,1889.76,1891.4,8220
2021-06-09 17:00:00,1891.39,1891.8,1890.53,1891.12,5591
2021-06-09 18:00:00,1891.13,1893.19,1890.78,1891.21,7726
2021-06-09 19:00:00,1891.2,1891.96,1890.57,1890.73,4383
2021-06-09 20:00:00,1890.72,1891.09,1888.62,1889.8,4186
2021-06-09 21:00:00,1889.84,1889.89,1888.46,1888.49,1859
2021-06-09 23:00:00,1888.59,1889.19,1888.24,1888.96,1222
2021-06-10 00:00:00,1888.96,1889.09,1888.13,1888.64,1783
2021-06-10 01:00:00,1888.63,1889.3,1885.15,1885.95,4583
2021-06-10 02:00:00,1885.95,1888.78,1884.21,1887.76,9446
2021-06-10 03:00:00,1887.75,1887.76,1884.24,1887.04,7586
2021-06-10 04:00:00,1887.06,1887.93,1886.73,1887.26,3942
2021-06-10 05:00:00,1887.26,1887.26,1884.99,1885.39,3160
2021-06-10 06:00:00,1885.39,1887.6,1882.64,1884.07,6047
2021-06-10 07:00:00,1884.06,1888.02,1883.11,1883.75,10079
2021-06-10 08:00:00,1883.65,1885.19,1876.52,1877.44,12761
2021-06-10 09:00:00,1877.46,1882.27,1876.89,1882.24,7224
2021-06-10 10:00:00,1882.24,1883.83,1879.66,1880.75,7046
2021-06-10 11:00:00,1880.75,1881.06,1879.31,1879.98,6326
2021-06-10 12:00:00,1880.0,1880.04,1875.97,1876.09,9441
2021-06-10 13:00:00,1876.03,1891.52,1869.8,1890.82,23057
2021-06-10 14:00:00,1890.82,1893.9,1884.86,1888.69,26069
2021-06-10 15:00:00,1888.62,1892.82,1887.68,1888.83,19468
2021-06-10 16:00:00,1888.8,1894.03,1888.65,1893.7,13719
2021-06-10 17:00:00,1893.63,1894.67,1891.81,1893.64,11028
2021-06-10 18:00:00,1893.63,1894.96,1892.63,1894.49,8874
2021-06-10 19:00:00,1894.48,1896.07,1894.18,1895.88,7090
2021-06-10 20:00:00,1895.9,1899.29,1895.55,1898.1,8002
2021-06-10 21:00:00,1897.97,1899.78,1897.82,1898.29,3347
2021-06-10 23:00:00,1898.18,1899.37,1897.27,1898.52,2845
2021-06-11 00:00:00,1898.52,1898.82,1897.45,1898.33,2058
2021-06-11 01:00:00,1898.29,1899.63,1897.3,1899.5,4443
2021-06-11 02:00:00,1899.58,1900.02,1897.52,1899.81,12008
2021-06-11 03:00:00,1899.79,1900.63,1898.95,1899.34,8027
2021-06-11 04:00:00,1899.33,1900.85,1898.79,1898.97,6513
2021-06-11 05:00:00,1898.99,1900.39,1898.52,1900.19,3187
2021-06-11 06:00:00,1900.19,1900.6,1898.61,1900.23,6271
2021-06-11 07:00:00,1900.32,1902.02,1898.24,1900.81,11721
2021-06-11 08:00:00,1900.83,1902.96,1899.17,1899.29,10166
2021-06-11 09:00:00,1899.25,1899.32,1893.66,1895.09,11680
2021-06-11 10:00:00,1895.09,1896.08,1889.23,1892.57,10972
2021-06-11 11:00:00,1892.53,1895.07,1890.69,1891.21,8705
2021-06-11 12:00:00,1891.21,1891.38,1887.28,1889.11,11629
2021-06-11 13:00:00,1889.21,1891.69,1883.61,1884.14,17695
2021-06-11 14:00:00,1884.22,1886.65,1880.98,1881.02,19290
2021-06-11 15:00:00,1881.04,1884.16,1878.48,1883.6,17710
2021-06-11 16:00:00,1883.6,1884.34,1875.21,1880.2,13170
2021-06-11 17:00:00,1880.19,1880.5,1876.0,1878.95,8420
2021-06-11 18:00:00,1878.95,1879.09,1874.93,1875.31,6888
2021-06-11 19:00:00,1875.29,1877.25,1874.45,1877.12,6237
2021-06-11 20:00:00,1877.11,1877.18,1875.2,1876.53,5763
2021-06-11 21:00:00,1876.49,1876.98,1875.5,1876.06,2050
2021-06-13 23:00:00,1876.64,1877.61,1873.33,1875.46,3701
2021-06-14 00:00:00,1875.46,1875.56,1873.14,1873.59,3307
2021-06-14 01:00:00,1873.58,1873.82,1870.54,1870.79,7973
2021-06-14 02:00:00,1870.83,1871.64,1863.91,1864.72,10039
2021-06-14 03:00:00,1864.75,1866.47,1863.13,1866.25,6264
2021-06-14 04:00:00,1866.26,1866.35,1863.47,1865.47,5604
2021-06-14 05:00:00,1865.47,1865.52,1860.28,1865.39,7230
2021-06-14 06:00:00,1865.41,1865.69,1863.51,1863.67,6560
2021-06-14 07:00:00,1863.71,1866.1,1858.75,1861.23,11950
2021-06-14 08:00:00,1861.24,1862.41,1856.79,1858.38,11472
2021-06-14 09:00:00,1858.32,1858.76,1854.82,1858.04,10088
2021-06-14 10:00:00,1858.04,1861.44,1856.83,1858.17,9449
2021-06-14 11:00:00,1858.22,1858.31,1852.74,1854.68,9116
2021-06-14 12:00:00,1854.7,1857.04,1853.38,1853.74,9115
2021-06-14 13:00:00,1853.75,1854.47,1844.68,1848.22,17312
